id;firstname;lastname;team;position;injured;banned;mantra_position;fantacalcio_position;name;country;birth_date;foot_name;fantacalcioPlayerId;fantacalcioTeamName;appearances;matchesInStart;mins_played;pagella;fantacalcioRanking;fantacalcioFantaindex;fantacalcioPosition;assists;goals;goals90min;goalsFromOpenPlays;xgFromOpenPlays;xgFromOpenPlays/90min;xA;xA90min;redCards;yellowCards;successfulPenalties;penalties;gkPenaltiesSaved;gkCleanSheets;gkConcededGoals;openPlaysGoalsConceded;openPlaysXgConceded;fantamediaPred;fantamediaPredRoundId;matchConvocation;matchesWithGrade;perc_matchesStarted;perc_matchesWithGrade;percMinsPlayed;expectedFantamediaMean;External_breakout_Index;Set_piece_attack_Index;Offensive_verticalization_Index;Attacking_area_Index;Pass_accuracy_Index;Accompany_the_offensive_action_Index;Cross_accuracy_Index;Pass_leading_chances_Index;Shot_on_target_Index;Received_pass_Index;Deep_runs_Index;Air_challenge_offensive_Index;Shot_on_goal_Index;Converge_in_the_center_Index;Pass_forward_accuracy_Index;Defense_solidity_Index;Offensive_actions_Index;Dribbles_successful_Index;Offensive_field_presence_Index
7910;david;de gea;{'uuid': '573f5fa3-5623-417c-9efc-f28b50bc7778', 'name': 'fiorentina'};Goalkeeper;False;False;['G'];P;David de Gea Quintana;Spain;1990-11-07;right;2521;fiorentina;35.0;35.0;3415.0;6.25;5.64;-1.0;P;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;11.0;38.0;38.0;34.41;-1;39.0;38.0;35.0;92.11;92.11;92.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
8287;Luka;modric;{'uuid': '2e4b19a8-e58e-4782-905f-bf0219218572', 'name': 'milan'};Midfielder;False;False;['M'];C;Luka Modric;Croatia;1985-09-09;right;2606;milan;35.0;17.0;1990.0;6.24;6.47;84.85;C;5.0;2.0;0.09;2.0;1.22;0.06;5.11;0.23;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;37.0;32.0;45.95;86.49;57.0;-1;74.12;57.54;90.81;61.81;92.35;94.6;52.56;80.37;53.25;98.08;57.83;-1.0;68.81;52.91;93.08;-1.0;97.52;60.47;95.07
8327;Edin;Dzeko;{'uuid': '573f5fa3-5623-417c-9efc-f28b50bc7778', 'name': 'fiorentina'};Forward;False;False;['CF'];A;Edin Dzeko;Bosnia-Herzegovina;1986-03-17;right;647;fiorentina;35.0;24.0;2503.0;6.31;7.52;71.88;A;4.0;14.0;0.5;11.0;14.29;0.51;5.76;0.21;0.0;1.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;35.0;35.0;68.57;100.0;69.0;-1;48.5;-1.0;57.23;86.75;-1.0;47.1;52.36;70.13;75.31;47.75;80.32;62.96;58.98;-1.0;-1.0;-1.0;51.67;-1.0;63.08
11039;benjamin;siegrist;{'uuid': '8f9c4fc6-a3f1-4750-979a-7b10da38e12f', 'name': 'genoa'};Goalkeeper;False;False;['G'];P;Benjamin Siegrist;Switzerland;1992-01-31;right;6991;genoa;15.0;15.0;1453.0;6.33;5.83;-1.0;P;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;12.0;12.0;10.48;-1;39.0;31.0;15.0;48.39;48.39;39.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
13484;dele;alli;{'uuid': '3d3e3a11-950e-4170-a228-5bd0943e5716', 'name': 'como'};Midfielder;False;False;['OM'];C;Dele Alli;England;1996-04-11;right;2553;como;1.0;0.0;10.0;4.59;3.59;-1.0;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;10.0;1.0;0.0;10.0;0.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
14869;Sead;kolasinac;{'uuid': '313d7f52-5056-426e-9637-9aeae2c94d8d', 'name': 'atalanta'};Defender;True;False;['LA', 'LB', 'E'];D;Sead Kolasinac;Germany;1993-06-20;left;2640;atalanta;23.0;23.0;2034.0;6.11;5.96;66.14;D;2.0;0.0;0.0;0.0;1.21;0.05;1.54;0.07;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;23.0;23.0;100.0;100.0;56.0;-1;75.62;59.05;70.15;60.26;81.74;83.19;-1.0;54.78;-1.0;80.4;-1.0;-1.0;-1.0;-1.0;90.19;70.52;79.86;-1.0;67.93
15524;hakan;calhanoglu;{'uuid': 'fb3aee60-b9c5-4842-b8c0-f338743a5532', 'name': 'inter'};Midfielder;False;True;['DM', 'M'];C;Hakan Calhanoglu;Germany;1994-02-08;right;2194;inter;29.0;26.0;2069.0;6.21;6.71;96.16;C;5.0;5.0;0.22;2.0;1.36;0.06;5.2;0.23;0.0;5.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;30.0;28.0;86.67;93.33;59.0;-1;61.16;54.7;79.58;58.45;85.91;90.46;-1.0;65.21;61.85;91.64;-1.0;-1.0;62.75;-1.0;83.02;-1.0;90.86;-1.0;89.8
20404;bryan;cristante;{'uuid': '1e324d46-77cf-49f1-8dd2-9a0e343741c2', 'name': 'roma'};Midfielder;False;False;['DM', 'M'];C;Bryan Cristante;Italy;1995-03-03;right;779;roma;30.0;23.0;2195.0;6.13;6.43;77.8;C;1.0;4.0;0.16;6.0;2.69;0.11;0.52;0.02;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;30.0;29.0;76.67;96.67;61.0;-1;59.54;54.47;91.37;60.45;74.81;79.37;-1.0;-1.0;51.32;80.68;54.29;61.86;72.39;-1.0;71.85;-1.0;80.23;-1.0;75.47
20414;Mattia;valoti;{'uuid': '15cfc725-f2e8-4d2a-8fd7-17c9e164430d', 'name': 'cremonese'};Mezzala;False;True;['M', 'OM'];C;Mattia Valoti;Italy;1993-09-06;right;2274;cremonese;20.0;3.0;596.0;5.99;6.36;45.19;C;0.0;3.0;0.45;4.0;2.17;0.33;0.26;0.04;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;37.0;16.0;8.11;43.24;17.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20418;stephan;el shaarawy;{'uuid': '1e324d46-77cf-49f1-8dd2-9a0e343741c2', 'name': 'roma'};Wide-Midfielder;False;False;['W'];C;Stephan El Shaarawy;Italy;1992-10-27;right;795;roma;31.0;12.0;1221.0;6.08;6.43;85.03;C;3.0;3.0;0.22;4.0;2.21;0.16;1.78;0.13;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;36.0;24.0;33.33;66.67;35.0;-1;68.71;-1.0;68.0;75.98;56.85;70.63;64.71;68.48;77.12;69.1;62.67;-1.0;72.27;70.04;60.87;-1.0;69.76;65.14;58.1
20512;Matteo;Bianchetti;{'uuid': '15cfc725-f2e8-4d2a-8fd7-17c9e164430d', 'name': 'cremonese'};Defender;False;False;['CB'];D;Matteo Bianchetti;Italy;1993-03-17;right;612;cremonese;37.0;36.0;3375.0;5.99;5.88;17.42;D;0.0;1.0;0.03;2.0;0.87;0.02;0.7;0.02;1.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;37.0;36.0;97.3;97.3;92.0;-1;38.96;-1.0;56.04;41.49;62.32;63.73;-1.0;-1.0;-1.0;58.56;38.68;-1.0;-1.0;-1.0;69.37;48.32;53.27;-1.0;46.33
20518;jesus;juan jesus;{'uuid': '28ba208b-80fd-4a40-8014-bc82d2976fc3', 'name': 'napoli'};Defender;False;False;['LB', 'CB'];D;Juan Guilherme Nunes Jesus;Brazil;1991-06-10;left;256;napoli;15.0;12.0;1164.0;6.09;6.09;64.89;D;1.0;0.0;0.0;0.0;0.41;0.03;0.09;0.01;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;33.0;14.0;36.36;42.42;32.0;-1;-1.0;-1.0;73.85;55.15;90.74;88.01;-1.0;-1.0;-1.0;90.93;-1.0;-1.0;-1.0;-1.0;89.92;81.21;87.08;-1.0;56.8
20572;daniele;padelli;{'uuid': '10699c39-fa51-4968-8ee6-209df2113a8c', 'name': 'udinese'};Goalkeeper;False;False;['G'];P;Daniele Padelli;Italy;1985-10-25;right;543;udinese;1.0;1.0;98.0;6.56;7.56;-1.0;P;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.99;-1;39.0;37.0;1.0;2.7;2.7;3.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20635;francesco;acerbi;{'uuid': 'fb3aee60-b9c5-4842-b8c0-f338743a5532', 'name': 'inter'};Defender;False;False;['CB'];D;Francesco Acerbi;Italy;1988-02-10;left;513;inter;23.0;20.0;1873.0;6.07;6.11;89.88;D;1.0;0.0;0.0;0.0;0.87;0.04;0.55;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;30.0;21.0;66.67;70.0;50.0;-1;-1.0;67.09;60.61;57.36;90.47;82.27;-1.0;55.01;-1.0;90.74;53.27;74.82;-1.0;-1.0;83.31;66.63;87.98;-1.0;75.24
20702;Nicolas;leali;{'uuid': '8f9c4fc6-a3f1-4750-979a-7b10da38e12f', 'name': 'genoa'};Goalkeeper;False;False;['G'];P;Nicola Leali;Italy;1993-02-17;right;188;genoa;29.0;29.0;2813.0;6.23;5.52;-1.0;P;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;10.0;31.0;31.0;27.85;-1;39.0;38.0;29.0;76.32;76.32;76.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20751;Juan;cuadrado;{'uuid': 'c1a7a918-44f8-4da9-86b6-f8b95e8e261d', 'name': 'pisa'};Wide-Midfielder;False;False;['E'];D;Juan Guillermo Cuadrado Bello;Colombia;1988-05-26;right;697;pisa;23.0;7.0;922.0;5.95;5.97;64.39;D;2.0;0.0;0.0;0.0;1.41;0.14;2.95;0.29;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;29.0;22.0;24.14;75.86;27.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20823;Franco Damian;vazquez;{'uuid': '15cfc725-f2e8-4d2a-8fd7-17c9e164430d', 'name': 'cremonese'};Forward;False;True;['OM', 'F'];C;Franco Damian Vazquez;Argentina;1989-02-22;left;449;cremonese;31.0;26.0;2228.0;6.3;7.19;65.48;C;4.0;9.0;0.36;10.0;7.07;0.29;3.78;0.15;0.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;31.0;31.0;83.87;100.0;64.0;-1;44.03;47.6;66.3;57.16;48.17;58.06;49.81;64.05;47.81;57.97;48.14;51.32;53.71;40.43;48.68;-1.0;66.43;42.06;67.31
20927;lorenzo;de silvestri;{'uuid': '7bbe67b4-c9f4-48a3-be6f-23aa61167ff2', 'name': 'bologna'};Wing-Back;False;False;['RB', 'E'];D;Lorenzo De Silvestri;Italy;1988-05-23;right;487;bologna;18.0;13.0;1132.0;5.89;6.03;80.16;D;0.0;1.0;0.08;2.0;0.72;0.06;0.27;0.02;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;37.0;17.0;35.14;45.95;32.0;-1;56.35;-1.0;65.97;56.7;69.28;62.85;54.03;-1.0;-1.0;61.3;53.25;64.23;-1.0;-1.0;78.66;61.88;52.26;-1.0;52.76
21001;elseid;hysaj;{'uuid': 'f10c49fc-d0ce-4a7b-ba2d-f136e95e0fe0', 'name': 'lazio'};Wing-Back;False;False;['RB', 'LB', 'E'];D;Elseid Hysaj;Albania;1994-02-20;right;140;lazio;11.0;4.0;481.0;5.85;5.9;62.2;D;2.0;0.0;0.0;0.0;0.02;0.0;0.85;0.16;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;17.0;9.0;23.53;52.94;14.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21065;pietro;terracciano;{'uuid': '2e4b19a8-e58e-4782-905f-bf0219218572', 'name': 'milan'};Goalkeeper;False;False;['G'];P;Pietro Terracciano;Italy;1990-03-08;right;2815;milan;3.0;3.0;298.0;6.1;5.43;-1.0;P;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;2.98;-1;39.0;38.0;3.0;7.89;7.89;8.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21095;matteo;darmian;{'uuid': 'fb3aee60-b9c5-4842-b8c0-f338743a5532', 'name': 'inter'};Wide-Midfielder;False;False;['LA', 'RB', 'E'];D;Matteo Darmian;Italy;1989-12-02;right;2525;inter;29.0;20.0;1917.0;6.12;6.38;95.13;D;2.0;3.0;0.14;4.0;1.2;0.06;1.61;0.08;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;33.0;26.0;60.61;78.79;54.0;-1;55.73;-1.0;55.83;61.98;62.97;67.89;61.8;62.84;-1.0;77.07;59.4;-1.0;-1.0;-1.0;62.76;-1.0;65.22;-1.0;60.15
21128;carlo;pinsoglio;{'uuid': '8f4e639c-b52a-4ea8-9f2c-80c5172add56', 'name': 'juventus'};;False;False;['G'];P;Carlo Pinsoglio;;1990-03-16;;1930;juventus;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;P;-1.0;-1.0;-1.0;-2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21298;Andrade David;nicolas;{'uuid': 'c1a7a918-44f8-4da9-86b6-f8b95e8e261d', 'name': 'pisa'};Goalkeeper;False;False;['G'];P;Nicolas David Andrade ;Brazil;1988-04-12;right;2271;pisa;1.0;1.0;96.0;6.4;5.4;-1.0;P;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.63;-1;39.0;38.0;1.0;2.63;2.63;3.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21384;Ciro;Immobile;{'uuid': '7bbe67b4-c9f4-48a3-be6f-23aa61167ff2', 'name': 'bologna'};Forward;False;False;['CF'];A;Ciro Immobile;Italy;1990-02-20;right;785;bologna;30.0;26.0;2196.0;6.13;7.66;48.37;A;3.0;15.0;0.61;9.0;7.27;0.3;3.27;0.13;0.0;4.0;8.0;8.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;32.0;29.0;81.25;90.62;62.0;-1;51.39;51.31;44.98;86.79;-1.0;47.35;-1.0;52.24;60.91;43.66;78.41;54.77;59.11;-1.0;-1.0;-1.0;45.88;-1.0;57.07
21468;mattia;perin;{'uuid': '8f4e639c-b52a-4ea8-9f2c-80c5172add56', 'name': 'juventus'};Goalkeeper;False;False;['G'];P;Mattia Perin;Italy;1992-11-10;right;218;juventus;5.0;5.0;478.0;6.34;6.34;-1.0;P;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;3.61;-1;39.0;36.0;5.0;13.89;13.89;13.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21528;Federico;ceccherini;{'uuid': '15cfc725-f2e8-4d2a-8fd7-17c9e164430d', 'name': 'cremonese'};Defender;False;False;['RB', 'CB'];D;Federico Ceccherini;Italy;1992-05-11;right;1891;cremonese;21.0;20.0;1658.0;6.05;6.12;12.61;D;1.0;1.0;0.05;2.0;0.63;0.03;0.24;0.01;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;30.0;21.0;66.67;70.0;46.0;-1;-1.0;-1.0;-1.0;42.32;69.02;68.8;-1.0;-1.0;-1.0;63.89;-1.0;49.54;-1.0;-1.0;67.09;48.18;58.35;-1.0;50.75
21842;cristiano;biraghi;{'uuid': '8cbf8ec8-2e07-4946-9d90-58b0da6a9c14', 'name': 'torino'};Wing-Back;False;False;['LB', 'E'];D;Cristiano Biraghi;Italy;1992-09-01;left;252;torino;23.0;18.0;1733.0;5.9;5.92;72.91;D;0.0;1.0;0.05;0.0;0.23;0.01;4.4;0.23;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;29.0;21.0;62.07;72.41;47.0;-1;69.38;-1.0;-1.0;57.32;67.97;76.12;85.0;58.74;-1.0;70.35;55.98;-1.0;-1.0;-1.0;75.09;67.79;59.88;-1.0;52.5
22053;francesco;rossi f.;{'uuid': '313d7f52-5056-426e-9637-9aeae2c94d8d', 'name': 'atalanta'};;False;False;['G'];P;Francesco Rossi;;1991-04-27;;2297;atalanta;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;P;-1.0;-1.0;-1.0;-2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22093;Antonio;Caracciolo;{'uuid': 'c1a7a918-44f8-4da9-86b6-f8b95e8e261d', 'name': 'pisa'};Defender;False;False;['CB'];D;Antonio Caracciolo;Italy;1990-06-30;right;2273;pisa;35.0;34.0;3284.0;6.18;6.24;53.0;D;0.0;2.0;0.05;4.0;2.37;0.06;0.59;0.02;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;39.0;36.0;35.0;94.44;97.22;89.0;-1;-1.0;44.43;39.44;41.21;59.44;56.07;-1.0;-1.0;-1.0;49.12;-1.0;-1.0;-1.0;-1.0;50.41;58.41;47.08;-1.0;46.19
